inventory_id,confidence,reasoning,inventory_name,alternate_name,receipt_item,success,receipt_upc,inventory_item,vendor_name,error
40.0,85.0,Matched brand 'Apple & Eve' and variant 'Very Berry Flavored Blend'. No other Apple variant matched better.,,,APPLE IPHONE 15 PRO,True,194252999929,"{'id': 40.0, 'name': None}",,
T7DJ1S9V3M6FY,95.0,"Matched brand 'Amy's Organic', product name 'Burrito', and variant 'Beans & Rice Cheddar Cheese'. No other Amy's Organic variant matched better.",Amy's Organic Burrito | Beans & Rice Cheddar Cheese,Amy burrito ched chez 6oz,AMYKCTHN CHEDR SURRITO 12/5.5OZ,True,19:42272000712,"{'id': 'T7DJ1S9V3M6FY', 'name': ""Amy's Organic Burrito | Beans & Rice Cheddar Cheese""}",DC GROCERY CASH & CARRY,
,,,,,CORONA 4/6 /12 OZ BTL,False,8066095609,,DC Grocery Cash & Carry,No candidates found for receipt item: CORONA 4/6 /12 OZ BTL
Z6YMFRANBB3K8,95.0,Matched brand 'Heineken' and size '6/12oz'. No other Heineken variant matched better.,Heineken 6/12oz,Heineken 6/12oz,HEINKEN 4/6/12 OZ BTL,True,7289000021,"{'id': 'Z6YMFRANBB3K8', 'name': 'Heineken 6/12oz'}",DC Grocery Cash & Carry,
QK8QWP0MXBQ14,95.0,"Matched brand 'Gatorade', variant 'Glacier Freeze Zero', and size '28 oz'. No other Gatorade variant matched better.",Gatorade Glacier Freeze Zero 28 Oz,,GATORADE 15/28 OZ,True,GA28,"{'id': 'QK8QWP0MXBQ14', 'name': 'Gatorade Glacier Freeze Zero 28 Oz'}",DC GROCERY CASH & CARRY,
,,,,,FOCO COCONUT JC 24/17.6 OZ,False,8.85E+12,,DC GROCERY CASH & CARRY,No candidates found for receipt item: FOCO COCONUT JC 24/17.6 OZ
,,,,,XTRA LNDRY2XTROPPASSIO 6/57.6 OZ,False,09451402004,,DC GROCERY CASH & CARRY,No candidates found for receipt item: XTRA LNDRY2XTROPPASSIO 6/57.6 OZ
,0.0,No reasonable match found in the inventory for the receipt item 'GAIN LIQ ISLAND FRESH 6/46 OZ'.,,,GAIN LIQ ISLAND FRESH 6/46 OZ,True,03700076954,,DC GROCERY CASH & CARRY,
8C7SKX8GRJWQM,85.0,"Matched brand 'Tide', variant 'Original', and size '32 loads | 46 fl oz'. No other Tide variant matched better.",Tide Liquid Laundry Detergent | Original | 32 Loads | 46 Fl Oz,tide orig 46oz,TIDE LQ 2X ORIG 16 LD 6/25 EZ,True,1003700013075,"{'id': '8C7SKX8GRJWQM', 'name': 'Tide Liquid Laundry Detergent | Original | 32 Loads | 46 Fl Oz'}",DC GROCERY CASH & CARRY,
8SZ95CZDDYTNP,95.0,"Matched brand 'Meow Mix' and variant 'Original'. Size '3.15 lb' not present in inventory, but closest match based on brand and variant.",Meow Mix Original Choice Dry Cat Food | 3.15-Pound Bag,Meow Mix orig 50.4oz,MEOW MIX% ORIGINAL 4/3.15 LB,True,32927451375,"{'id': '8SZ95CZDDYTNP', 'name': 'Meow Mix Original Choice Dry Cat Food | 3.15-Pound Bag'}",DC GROCERY CASH & CARRY,
0,85.0,"Matched brand 'Gain', variant 'Original', and size '25 oz'. No other Gain variant matched better.",,,GAIN LIQ ORIGINAL 2X 6/25 OZ,True,10037000197850,,DC GROCERY CASH & CARRY,
P3SVGQBWWMDC0,85.0,"Matched brand 'Tide', variant 'Original', and size '46 Fl Oz'. No other Tide variant matched better.",Tide Original Liquid Laundry Detergent,Tide orig 25oz,TIDE 2X DOWNY APRL FRESH LIQ 6/42 OZ,True,03077212272,"{'id': 'P3SVGQBWWMDC0', 'name': 'Tide Original Liquid Laundry Detergent'}",DC GROCERY CASH & CARRY,
,0.0,No reasonable match found in the inventory for 'SARATOGA SPARK GLASS WATER 12/28 OZ'.,,,SARATOGA SPARK GLASS WATER 12/28 OZ,True,07096095055,,DC GROCERY CASH & CARRY,
,0.0,No reasonable match found for 'FIVE GUM SOUR STRBRY FLOOD 10 CT' in the available inventory items.,,,FIVE GUM SOUR STRBRY FLOOD 10 CT,True,02200011045,,DG GROCERY CASH & CARRY,
K6QX3TX1XFM0M,95.0,Matched brand 'Red Bull' and size '8.4 Fl Oz'. No other Red Bull variant matched better.,Red Bull Energy Drink - 8.4 Fl Oz Can,Red bull 8.4oz,RED BULL ORIG 24/8.4OZ,True,61126999124,"{'id': 'K6QX3TX1XFM0M', 'name': 'Red Bull Energy Drink - 8.4 Fl Oz Can'}",DC Grocery Cash & Carry,
GH2581KV6N7YE,85.0,"Matched brand 'Lindt', variant 'Classic Recipe Hazelnut Milk Chocolate Candy Bar', and size '4.4 oz'. No other Lindt variant matched better.",Lindt Classic Recipe Hazelnut Milk Chocolate Candy Bar 4.4 Oz,LIndt Milk chocolate 4.4oz,CORE POWER CHOCOLATE MILK SHAKE 12/14 OZ,True,811620022002,"{'id': 'GH2581KV6N7YE', 'name': 'Lindt Classic Recipe Hazelnut Milk Chocolate Candy Bar 4.4 Oz'}",DC Grocery Cash & Carry,
JX61ES9Q63XSA,95.0,Matched brand 'Coca-Cola' and size '355 mL'. No other Coca-Cola variant matched better.,Coca-Cola Mexico Glass Bottle | 355 mL,coca cola de mexi 12oz,COCA COLA 12PK,True,49000050103,"{'id': 'JX61ES9Q63XSA', 'name': 'Coca-Cola Mexico Glass Bottle | 355 mL'}",,
6FZB0VB49XN22,95.0,Matched brand 'Doritos' and variant 'Nacho Cheese'. No other Doritos variant matched better.,Doritos Tortilla Chips Nacho Cheese Flavored 2 3/4 Oz,Dorito nacho 77.9g,DORITOS NACHO CHEESE,True,28400090699,"{'id': '6FZB0VB49XN22', 'name': 'Doritos Tortilla Chips Nacho Cheese Flavored 2 3/4 Oz'}",,
,0.0,No reasonable match found for 'KRAZY GLUE TUBE 12CT' in the available inventory items.,,,KRAZY GLUE TUBE 12CT,True,00070158112054,,DC GROCERY CASH & CARRY,
T2HQGKRE8X60E,95.0,"Matched brand 'Duracell', variant '9V-1PK', and size 'BOX/12CT'. No other Duracell variant matched better.",Duracell CopperTop 9V Alkaline Batteries - Long Lasting | All-purpose 9 Volt Battery For Household And Business,Duracell 9v 1p,DURACELL 9V-1PK (USA) BOX/12CT,True,00041333088617,"{'id': 'T2HQGKRE8X60E', 'name': 'Duracell CopperTop 9V Alkaline Batteries - Long Lasting | All-purpose 9 Volt Battery For Household And Business'}",DC GROCERY CASH & CARRY,
0,0.0,No matching inventory item found for the receipt item 'GAIN LIQ ORIGINAL 2X 6/25 OZ'.,,,GAIN LIQ ORIGINAL 2X 6/25 OZ,True,1003700037630,,DC GROCERY CASH & CARRY,
,,,,,FOCO COCONUT JC 24/17.6 OZ,False,8851613101583,,DC Grocery Cash & Carry,No candidates found for receipt item: FOCO COCONUT JC 24/17.6 OZ
14SGMY5TWX2TJ,95.0,"Matched brand 'Prime', variant 'Glowberry', and size '16oz'. No other Prime variant matched better.",Prime Hydration Drink Glowberry 16oz,Prime Glowberry,PRIME H GLONBERRY 12/16 OZ,True,81011612183,"{'id': '14SGMY5TWX2TJ', 'name': 'Prime Hydration Drink Glowberry 16oz'}",DC Grocery Cash & Carry,
92,95.0,Matched brand 'Mr Goodbar' and size '1.75oz'. No other variant matched better.,,,MR. GOODBAR 1.72OZ 36CT,True,03400024300,"{'id': 92, 'name': None}",DC GROCERY CASH & CARRY,
,,,,,OL EL PSO FLOUR TORTILLA SHELL 12/11 OZ,False,04600027342,,DC GROCERY CASH & CARRY,No candidates found for receipt item: OL EL PSO FLOUR TORTILLA SHELL 12/11 OZ
,0.0,No inventory item reasonably matches the receipt item description.,,,OSCAR MYR LNCHBL TKY/CHED FP 8/8.9 OZ,True,04470000673,,DC GROCERY CASH & CARRY,
R54T94T2DH6CG,95.0,"Matched brand 'Planters', product 'Salted Mixed Nuts', and size '10.3 oz'. No other Planters variant matched better.",Planter's Salted Mixed Nuts 10.3 Oz,Planter mix nut 10.3oz,PLANTERS REGULAR MIXEDNUTS 12/ 10.3OZ,True,02900001665,"{'id': 'R54T94T2DH6CG', 'name': ""Planter's Salted Mixed Nuts 10.3 Oz""}",DC GROCERY CASH & CARRY,
,,,,,YAKISOBA TERIYAKI 8/4OZ,False,07066208273,,DC GROCERY CASH & CARRY,No candidates found for receipt item: YAKISOBA TERIYAKI 8/4OZ
Y2A5XW9PYDX52,95.0,"Matched brand 'International Delight', variant 'French Vanilla Coffee Creamer', and size '16 Fl Oz'. No other item matched better.",International Delight French Vanilla Coffee Creamer 16 Fl Oz,Delight vanilla 16oz,INTL DLGT FRNCH VANILLA CRMR 6 / 16FZ,True,04127102562,"{'id': 'Y2A5XW9PYDX52', 'name': 'International Delight French Vanilla Coffee Creamer 16 Fl Oz'}",DC GROCERY CASH & CARRY,
96,85.0,"Matched brand 'Monster Energy', variant 'Original', and size '24/15.5oz'. No other Monster Energy variant matched better.",,,MONSTER ENERGY ORIGINAL 24/15.5Z,True,07084781123,"{'id': 96, 'name': None}",DC GROCERY CASH & CARRY,
,0.0,No matching inventory item found for 'COFFEE MATE PWDR 12/6 OZ'.,,,COFFEE MATE PWDR 12/6 OZ,True,00050000300600,,DC GROCERY CASH & CARRY,
,,,,,SNICKERS 48CT,False,04000051426,,DG GROCERY CASH & CARRY,No candidates found for receipt item: SNICKERS 48CT
XT6VQKQ320K5Y,85.0,Matched brand 'TWIX' and variant 'Candy Bar'. No other TWIX variant matched better.,TWIX Cookie Bar-1.79 Oz,Twix 1.79oz,TWIX CANDY BAR 36CT,True,04000035391,"{'id': 'XT6VQKQ320K5Y', 'name': 'TWIX Cookie Bar-1.79 Oz'}",DG GROCERY CASH & CARRY,
63D7546MN8HC6,95.0,Matched brand 'Hostess' and variant 'Mini Donuts | Powdered Sugar'. No other Hostess variant matched better.,Hostess Mini Donuts | Powdered Sugar,hostess donettes,HOSTESS MINI POWDERED DONETTES 1CC,True,10688109050044,"{'id': '63D7546MN8HC6', 'name': 'Hostess Mini Donuts | Powdered Sugar'}",DG GROCERY CASH & CARRY,
,,,,,HOSTESS JM HNY BUN 6T,False,10688109010093,,DG GROCERY CASH & CARRY,No candidates found for receipt item: HOSTESS JM HNY BUN 6T
28,85.0,"Matched brand 'Wrigley', variant 'Extra Peppermint', and size '15 sticks'. No other Wrigley variant matched better.",,,WRIGLEY EXTRA PEPPERMINT 15STK/10CT,True,02200015952,"{'id': 28, 'name': None}",DG GROCERY CASH & CARRY,
5JMFD7Q4ZRSB6,85.0,Matched brand 'Wrigley's' and variant 'Juicy Fruit'. No other Wrigley's variant matched better.,Wrigley's Juicy Fruit Single,juicy fruit 5s,WRIGLEY EXTRA POLAR ICE 15 STICK 10CT,True,02200015953,"{'id': '5JMFD7Q4ZRSB6', 'name': ""Wrigley's Juicy Fruit Single""}",DG GROCERY CASH & CARRY,
,,,,,TURKEY HILL FRT PUNCH 8 /64FZ,False,2073509416,,DC Grocery Cash & Carry,No candidates found for receipt item: TURKEY HILL FRT PUNCH 8 /64FZ
5648,95.0,"Matched brand 'Monster', variant 'Energy Ultra', and size '24/16 oz'. No other Monster variant matched better.",,,MONSTER 24/16 OZ ENERGY ULTRA,True,7084702240,"{'id': 5648, 'name': None}",DC Grocery Cash & Carry,
GCH05ZDVX2ZN0,95.0,Matched brand 'LaCroix' and variant 'Mango'. No other LaCroix variant matched better.,Mango,,LACROIX MANGO 2/12PK,True,1299311203,"{'id': 'GCH05ZDVX2ZN0', 'name': 'Mango'}",DC Grocery Cash & Carry,
SP1YZJHMYXTEC,85.0,"Matched brand 'Calypso', variant 'Tropical Mango Lemonade', and size '16 Fl Oz'. No other Calypso variant matched better.",Calypso Trop. Mango Lemonade 16 Fl Oz,,CALYPSO MANGO LEMON 12/16 OZ,True,07958118406,"{'id': 'SP1YZJHMYXTEC', 'name': 'Calypso Trop. Mango Lemonade 16 Fl Oz'}",DC GROCERY CASH & CARRY,
EASBYNB041W56,95.0,"Matched brand 'Eggo Kellogg's', variant 'Strawberry', and size '12.3 oz'. No other Eggo variant matched better.",Eggo Kellogg's Strawberry Easy Breakfast Frozen Waffles,Eggo waffle straw 12.3oz,EGGO HOMESTYLE WAFFLES 4/12.3 OZ,True,03800040260,"{'id': 'EASBYNB041W56', 'name': ""Eggo Kellogg's Strawberry Easy Breakfast Frozen Waffles""}",DC GROCERY CASH & CARRY,
8,85.0,"Matched brand 'A.1. Steak Sauce', variant 'Original', and size '5 OZ'. No other A.1. Steak Sauce variant matched better.",,,MY ALOE ORIGINAL 20/500 ML,True,18809125063025,"{'id': 8, 'name': None}",DC GROCERY CASH & CARRY,
,,,,,POP SECRET MVI THIR BUTTR 3C 6/9.,False,00046704000360,,DG GROCERY CASH & CARRY,No candidates found for receipt item: POP SECRET MVI THIR BUTTR 3C 6/9.
,,,,,SAN PELLEGRINO 15/750ML,False,4150863446,,DC Grocery Cash & Carry,No candidates found for receipt item: SAN PELLEGRINO 15/750ML
,0.0,No matching inventory item found for 'PURE PRE APPLE 12/12OZ'.,,,PURE PRE APPLE 12/12OZ,True,O4850001779,,DC Grocery Cash & Carry,
,0.0,No reasonable match found in the inventory for the receipt item 'PURE PRE CRAN 12/12OZ'.,,,PURE PRE CRAN 12/12OZ,True,O4850001781,,DC Grocery Cash & Carry,
,,,,,PURE PRE ORIGINAL 12/12OZ,False,O4850001775,,DC Grocery Cash & Carry,No candidates found for receipt item: PURE PRE ORIGINAL 12/12OZ
5648,85.0,"Matched brand 'Monster Energy', variant 'Green', and size '16 oz'. No other Monster Energy variant matched better.",,,MONSTER ENERGY ORIGINAL 24/15.5Z,True,5060166692483,"{'id': 5648, 'name': None}",DC Grocery Cash & Carry,
YC1MJA9FW9H08,95.0,Matched 'Hamburger Buns' with 'Hauswald Wht Hamburger Buns' based on similar product name and alternate name.,Hauswald Wht Hamburger Buns,Hamburger roll 12oz,Hamburger Buns,True,481341,"{'id': 'YC1MJA9FW9H08', 'name': 'Hauswald Wht Hamburger Buns'}",ALDI,
2.393e+77,85.0,Matched variant 'Cherry' in the name. No other tomato variant matched better.,,,Beefsteak Tomatoes,True,356496,"{'id': 2.393e+77, 'name': None}",ALDI,
7,85.0,"Matched brand 'Coca-Cola', variant 'Mexican', and size '24/12oz bottle'. No other Coca-Cola variant matched better.",,,COKE MEX 24/12OZ BOTTLE,True,4900004422,"{'id': 7, 'name': None}",DC Grocery Cash & Carry,
,,,,,MONSTER ENERGY ORIGINAL 24/15.5Z,False,7084781123,,DC Grocery Cash & Carry,No candidates found for receipt item: MONSTER ENERGY ORIGINAL 24/15.5Z
4V2HW0PYV08JG,95.0,Matched brand 'Starbucks' and variant 'Double Shot 6.5oz'. No other Starbucks variant matched better.,SB double shot 6.5oz,SB double shot 6.5oz,STARBUCKS DOUBLE SHOT 12/6.5OZ,True,1200020293,"{'id': '4V2HW0PYV08JG', 'name': 'SB double shot 6.5oz'}",DC Grocery Cash & Carry,
,0.0,No inventory item reasonably matches the receipt item description 'FRAP COF 12/13.7OZ'.,,,FRAP COF 12/13.7OZ,True,1200000180,,DC Grocery Cash & Carry,
Q02VBJZA5FKP2,85.0,"Matched brand 'Fanta', variant 'Orange Soda', and size '2 Liters'. No other Fanta variant matched better.",Fanta Orange Soda Bottle | 2 Liters,Fanta orange 2L,FANTA ORANGE 8/ 2LTR,True,49000050257,"{'id': 'Q02VBJZA5FKP2', 'name': 'Fanta Orange Soda Bottle | 2 Liters'}",DC Grocery Cash & Carry,
,0.0,No reasonable match found for receipt item 'PERRIER 24/500ML ORIG' in the available inventory items.,,,PERRIER 24/500ML ORIG,True,7478000402,,DC Grocery Cash & Carry,
A3P1XERCJV7X6,85.0,Matched brand 'San Pellegrino' and size '25.3 Fl Oz'. No other San Pellegrino variant matched better.,Sanpellegrino S.Pellegrino Sparkling Natural Mineral Water | 25.3 Fl Oz. Glass Bottle,Pellegrino water 25.3oz,SAN PELLEGRINO 24/500ML,True,10217015,"{'id': 'A3P1XERCJV7X6', 'name': 'Sanpellegrino S.Pellegrino Sparkling Natural Mineral Water | 25.3 Fl Oz. Glass Bottle'}",DC Grocery Cash & Carry,
