inventory_id,confidence,reasoning,inventory_name,receipt_item,success,receipt_upc,inventory_item,vendor_name
NEWE46M63NBJG,85,"Matched brand 'Tide', variant '4 In 1 With Downy', and size '30 oz'. No other Tide variant matched better.",Tide Pods Detergent | 4 In 1 With Downy | April Fresh | Pacs,TIDE 2X DOWNY APRL FRESH LIQ 6/42 OZ,True,03077212272,"{'id': 'NEWE46M63NBJG', 'name': 'Tide Pods Detergent | 4 In 1 With Downy | April Fresh | Pacs'}",
1HFNV3GP9BX1T,95,"Matched brand 'Corona', pack size '6/12oz', and no other Corona variant matched better.",Corona Extra 6/12oz,CORONA 4/6 /12 OZ BTL,True,8066095609,"{'id': '1HFNV3GP9BX1T', 'name': 'Corona Extra 6/12oz'}",
V2BZV531KJS52,95,"Matched brand 'Amy', product name 'Burrito', and variant 'Southwest'. No other Amy burrito variant matched better.",Amy burrito southwest 5.5oz,AMYKCTHN CHEDR SURRITO 12/5.5OZ,True,19:42272000712,"{'id': 'V2BZV531KJS52', 'name': 'Amy burrito southwest 5.5oz'}",
VZ43FWJ77Y4P2,85,Matched brand 'Xtra Detergent' and variant 'Tropical Passion'. Size '57.6 Fl Oz' is not an exact match but closest available.,Xtra rain 57.6oz,XTRA LNDRY2XTROPPASSIO 6/57.6 OZ,True,09451402004,"{'id': 'VZ43FWJ77Y4P2', 'name': 'Xtra rain 57.6oz'}",
Z9A974AEXR508,95,Matched brand 'Hostess' and variant 'Sno Balls'. No other Hostess variant matched better.,hostess snoballs,HOSTESS SNO BALLS 6CT,True,10885109010093,"{'id': 'Z9A974AEXR508', 'name': 'hostess snoballs'}",
Z6YMFRANBB3K8,95,Matched brand 'Heineken' and size '6/12oz'. No other Heineken variant matched better.,Heineken 6/12oz,HEINKEN 4/6/12 OZ BTL,True,7289000021,"{'id': 'Z6YMFRANBB3K8', 'name': 'Heineken 6/12oz'}",
V6FMR3WGRPFR8,85,Matched brand 'Trident' and variant 'Island Berry Lime'. No other Trident variant matched better.,Trident Island Berry Lime,GAIN LIQ ISLAND FRESH 6/46 OZ,True,03700076954,"{'id': 'V6FMR3WGRPFR8', 'name': 'Trident Island Berry Lime'}",
KSCP2CNGJP1SY,95,"Matched brand 'Gatorade', variant 'Fruit Punch', and size '20oz'. No other Gatorade variant matched better.",Gatorade Glacier Freeze 20oz,GATORADE FT PNCH 24/20OZ,True,ga20,"{'id': 'KSCP2CNGJP1SY', 'name': 'Gatorade Glacier Freeze 20oz'}",
QK8QWP0MXBQ14,95,"Matched brand 'Gatorade', variant 'Glacier Freeze Zero', and size '28 oz'. No other Gatorade variant matched better.",Gatorade Glacier Freeze Zero 28 Oz,GATORADE 15/28 OZ,True,GA28,"{'id': 'QK8QWP0MXBQ14', 'name': 'Gatorade Glacier Freeze Zero 28 Oz'}",
P3SVGQBWWMDC0,95,Matched brand 'Tide' and variant 'Original Liquid Laundry Detergent'. No other Tide variant matched better.,Tide orig 25oz,TIDE LQ 2X ORIG 16 LD 6/25 EZ,True,1003700013075,"{'id': 'P3SVGQBWWMDC0', 'name': 'Tide orig 25oz'}",
0X0V7X1GN84RY,95,"Matched brand 'Gain', variant 'Original', and size '25 oz'. No other Gain variant matched better.",Gain orig 25oz,GAIN LIQ ORIGINAL 2X 6/25 OZ,True,10037000197850,"{'id': '0X0V7X1GN84RY', 'name': 'Gain orig 25oz'}",
8SZ95CZDDYTNP,95,Matched brand 'Meow Mix' and variant 'Original'. Size was not specified but the variant was a clear indicator.,Meow Mix Original Choice Dry Cat Food | 3.15-Pound Bag,MEOW MIX% ORIGINAL 4/3.15 LB,True,32927451375,"{'id': '8SZ95CZDDYTNP', 'name': 'Meow Mix Original Choice Dry Cat Food | 3.15-Pound Bag'}",
SNH5P9D9TWAK0,95,"Matched brand 'Saratoga', variant 'Sparkling Water', and size '28floz'. No other Saratoga variant matched better.",Saratoga Sparkling Water 28floz,SARATOGA SPARK GLASS WATER 12/28 OZ,True,07096095055,"{'id': 'SNH5P9D9TWAK0', 'name': 'Saratoga Sparkling Water 28floz'}",
A52CPH1N4EGZW,95,"Matched brand '5 Gum', variant 'Sour Strawberry Flood', and count '10 CT'. No other 5 Gum variant matched better.",5 Gum Strawberry Flood Sugarfree Gum | Single Pack,FIVE GUM SOUR STRBRY FLOOD 10 CT,True,02200011045,"{'id': 'A52CPH1N4EGZW', 'name': '5 Gum Strawberry Flood Sugarfree Gum | Single Pack'}",
HPZP7V7WPHF5G,85,Matched brand 'Coca-Cola' and pack size '12 Fl Oz'. No other Coca-Cola variant matched better.,Coca-Cola Fridge Pack Cans | 12 Fl Oz,COCA COLA 12PK,True,49000050103,"{'id': 'HPZP7V7WPHF5G', 'name': 'Coca-Cola Fridge Pack Cans | 12 Fl Oz'}",
