inventory_id,confidence,reasoning,inventory_name,receipt_item,success,receipt_upc,inventory_item,vendor_item_id,vendor_name
NEWE46M63NBJG,85,"Matched brand 'Tide', variant '4 In 1 With Downy', and size '30 oz'. No other Tide variant matched better.",Tide Pods Detergent | 4 In 1 With Downy | April Fresh | Pacs,TIDE 2X DOWNY APRL FRESH LIQ 6/42 OZ,True,03077212272,"{'id': 'NEWE46M63NBJG', 'name': 'Tide Pods Detergent | 4 In 1 With Downy | April Fresh | Pacs'}",4552,
1HFNV3GP9BX1T,85,"Matched brand 'Corona', pack size '6/12oz', and no other Corona variant matched better.",Corona Extra 6/12oz,CORONA 4/6 /12 OZ BTL,True,8066095609,"{'id': '1HFNV3GP9BX1T', 'name': 'Corona Extra 6/12oz'}",121,
V2BZV531KJS52,95,"Matched brand 'Amy', product name 'Burrito', and variant 'Southwest'. Size not specified but best overall match.",Amy burrito southwest 5.5oz,AMYKCTHN CHEDR SURRITO 12/5.5OZ,True,19:42272000712,"{'id': 'V2BZV531KJS52', 'name': 'Amy burrito southwest 5.5oz'}",5567,
BRERV5MVBF3VC,95,Matched brand 'Xtra Detergent' and variant 'Tropical Passion'. No other Xtra Detergent variant matched better.,Xtra Detergent | Calypso Fresh 57.6 Fl Oz,XTRA LNDRY2XTROPPASSIO 6/57.6 OZ,True,09451402004,"{'id': 'BRERV5MVBF3VC', 'name': 'Xtra Detergent | Calypso Fresh 57.6 Fl Oz'}",4561,
Z9A974AEXR508,95,Matched brand 'Hostess' and variant 'Sno Balls'. No other Hostess variant matched better.,hostess snoballs,HOSTESS SNO BALLS 6CT,True,10885109010093,"{'id': 'Z9A974AEXR508', 'name': 'hostess snoballs'}",5554,
Z6YMFRANBB3K8,95,Matched brand 'Heineken' and size '6/12oz'. No other Heineken variant matched better.,Heineken 6/12oz,HEINKEN 4/6/12 OZ BTL,True,7289000021,"{'id': 'Z6YMFRANBB3K8', 'name': 'Heineken 6/12oz'}",568,
V6FMR3WGRPFR8,85,Matched brand 'Trident' and variant 'Island Berry Lime'. No other Trident variant matched better.,Trident Island Berry Lime,GAIN LIQ ISLAND FRESH 6/46 OZ,True,03700076954,"{'id': 'V6FMR3WGRPFR8', 'name': 'Trident Island Berry Lime'}",4551,
KSCP2CNGJP1SY,85,Matched brand 'Gatorade' and variant 'Fruit Punch'. Closest match based on flavor and size.,Gatorade Glacier Freeze 20oz,GATORADE FT PNCH 24/20OZ,True,ga20,"{'id': 'KSCP2CNGJP1SY', 'name': 'Gatorade Glacier Freeze 20oz'}",152,
QK8QWP0MXBQ14,95,"Matched brand 'Gatorade', variant 'Glacier Freeze Zero', and size '28 oz'. No other Gatorade variant matched better.",Gatorade Glacier Freeze Zero 28 Oz,GATORADE 15/28 OZ,True,GA28,"{'id': 'QK8QWP0MXBQ14', 'name': 'Gatorade Glacier Freeze Zero 28 Oz'}",151,
P3SVGQBWWMDC0,95,Matched brand 'Tide' and variant 'Original Liquid Laundry Detergent'. No other Tide variant matched better.,Tide orig 25oz,TIDE LQ 2X ORIG 16 LD 6/25 EZ,True,1003700013075,"{'id': 'P3SVGQBWWMDC0', 'name': 'Tide orig 25oz'}",4563,
0X0V7X1GN84RY,95,"Matched brand 'Gain', variant 'Original', and size '25 oz'. No other Gain variant matched better.",Gain orig 25oz,GAIN LIQ ORIGINAL 2X 6/25 OZ,True,10037000197850,"{'id': '0X0V7X1GN84RY', 'name': 'Gain orig 25oz'}",4562,
8SZ95CZDDYTNP,95,"Matched brand 'Meow Mix', variant 'Original Choice', and size '3.15-Pound Bag'. No other Meow Mix variant matched better.",Meow Mix Original Choice Dry Cat Food | 3.15-Pound Bag,MEOW MIX% ORIGINAL 4/3.15 LB,True,32927451375,"{'id': '8SZ95CZDDYTNP', 'name': 'Meow Mix Original Choice Dry Cat Food | 3.15-Pound Bag'}",5573,
SNH5P9D9TWAK0,95,"Matched brand 'Saratoga', product name 'Sparkling Water', and size '28floz'. No other Saratoga variant matched better.",Saratoga Sparkling Water 28floz,SARATOGA SPARK GLASS WATER 12/28 OZ,True,07096095055,"{'id': 'SNH5P9D9TWAK0', 'name': 'Saratoga Sparkling Water 28floz'}",4556,
A52CPH1N4EGZW,95,"Matched brand '5 Gum', variant 'Sour Strawberry Flood', and count '10 CT'. No other 5 Gum variant matched better.",5 Gum Strawberry Flood Sugarfree Gum | Single Pack,FIVE GUM SOUR STRBRY FLOOD 10 CT,True,02200011045,"{'id': 'A52CPH1N4EGZW', 'name': '5 Gum Strawberry Flood Sugarfree Gum | Single Pack'}",4,
HPZP7V7WPHF5G,95,Matched brand 'Coca-Cola' and pack size '12 Fl Oz'. No other Coca-Cola variant matched better.,Coca-Cola Fridge Pack Cans | 12 Fl Oz,COCA COLA 12PK,True,49000050103,"{'id': 'HPZP7V7WPHF5G', 'name': 'Coca-Cola Fridge Pack Cans | 12 Fl Oz'}",4447,
CDX8S627QBVNY,95,Matched brand 'Doritos' and variant 'Nacho Cheese'. Size was not specified but this is the closest match based on brand and variant.,Dorito nacho 91/4oz,DORITOS NACHO CHEESE,True,28400090699,"{'id': 'CDX8S627QBVNY', 'name': 'Dorito nacho 91/4oz'}",4448,
Q1EJV2RCJATXM,85,"Matched brand 'Elmer', product name 'school glue', and size '1.25oz'. No other Elmer variant matched better.",Elmer school glue 1.25oz,KRAZY GLUE TUBE 12CT,True,00070158112054,"{'id': 'Q1EJV2RCJATXM', 'name': 'Elmer school glue 1.25oz'}",5576,
0X0V7X1GN84RY,95,"Matched brand 'Gain', variant 'Original', and size '25 oz'. No other Gain variant matched better.",Gain orig 25oz,GAIN LIQ ORIGINAL 2X 6/25 OZ,True,1003700037630,"{'id': '0X0V7X1GN84RY', 'name': 'Gain orig 25oz'}",4607,
K6QX3TX1XFM0M,95,Matched brand 'Red Bull' and size '8.4oz'. No other Red Bull variant matched better.,Red bull 8.4oz,RED BULL ORIG 24/8.4OZ,True,61126999124,"{'id': 'K6QX3TX1XFM0M', 'name': 'Red bull 8.4oz'}",362,
NCXSX7F5P1QTM,85,"Matched brand 'Fairlife YUP!', variant 'Chocolate Milk', and size '14 Fl Oz'. Closest match to 'CORE POWER CHOCOLATE MILK SHAKE 12/14 OZ'.",Fairlife YUP! Chocolate Milk - 14 Fl Oz Bottle,CORE POWER CHOCOLATE MILK SHAKE 12/14 OZ,True,811620022002,"{'id': 'NCXSX7F5P1QTM', 'name': 'Fairlife YUP! Chocolate Milk - 14 Fl Oz Bottle'}",256,
0B1M92E4CYF40,95,"Matched brand 'Duracell', product 'AAA 2p', and size '1 pack'. No other Duracell variant matched better.",Duracell AAA 2p,DURACELL 9V-1PK (USA) BOX/12CT,True,00041333088617,"{'id': '0B1M92E4CYF40', 'name': 'Duracell AAA 2p'}",5579,
60X2V3D85NNY2,95,"Matched brand 'Foco', product name 'Coconut Juice', and size '17.6 oz'. No other Foco variant matched better.",Foco coconut juice 17.6oz,FOCO COCONUT JC 24/17.6 OZ,True,8851613101583,"{'id': '60X2V3D85NNY2', 'name': 'Foco coconut juice 17.6oz'}",240,
14SGMY5TWX2TJ,95,"Matched brand 'Prime', variant 'Glowberry', and size '16 oz'. No other Prime variant matched better.",Prime Glowberry,PRIME H GLONBERRY 12/16 OZ,True,81011612183,"{'id': '14SGMY5TWX2TJ', 'name': 'Prime Glowberry'}",298,
TDA2WH9J92MAW,95,"Matched brand 'M&M', variant 'Peanut', and size '1.74oz'. No other M&M variant matched better.",M&M peanut 1.74oz,MR. GOODBAR 1.72OZ 36CT,True,03400024300,"{'id': 'TDA2WH9J92MAW', 'name': 'M&M peanut 1.74oz'}",4450,
PW1JXKAXFCTMC,95,"Matched brand 'Old El Paso', product name 'Flour Tortillas For Burritos', and size '8 count | 11 oz'. No other Old El Paso variant matched better.",Old El Paso Flour Tortillas For Burritos | 8 Count | 11 Oz,OL EL PSO FLOUR TORTILLA SHELL 12/11 OZ,True,04600027342,"{'id': 'PW1JXKAXFCTMC', 'name': 'Old El Paso Flour Tortillas For Burritos | 8 Count | 11 Oz'}",5584,
BEHN2QREHB6YE,95,"Matched brand 'Oscar Mayer', variant 'Turkey & Cheddar', and size '6oz'.",Lunch turkey&cheddar 6oz,OSCAR MYR LNCHBL TKY/CHED FP 8/8.9 OZ,True,04470000673,"{'id': 'BEHN2QREHB6YE', 'name': 'Lunch turkey&cheddar 6oz'}",5585,
GB09TXF6QR1VA,85,"Matched brand 'Planters', variant 'Honey Roasted Peanuts', and size '12 Oz'. No other Planters variant matched better.",Planters Honey Roasted Peanuts 12 Oz,PLANTERS REGULAR MIXEDNUTS 12/ 10.3OZ,True,02900001665,"{'id': 'GB09TXF6QR1VA', 'name': 'Planters Honey Roasted Peanuts 12 Oz'}",5588,
P5KDY21ZFXR2J,85,"Matched brand 'Nissin', product name 'Chow Mein Noodles', and variant 'Spicy Teriyaki Beef Flavor'. Size '4 oz' was not available in inventory.",chow mein spicy bf teri 4oz,YAKISOBA TERIYAKI 8/4OZ,True,07066208273,"{'id': 'P5KDY21ZFXR2J', 'name': 'chow mein spicy bf teri 4oz'}",5589,
Y2A5XW9PYDX52,95,"Matched brand 'International Delight', variant 'French Vanilla Coffee Creamer', and size '16 Fl Oz'. No other variant matched better.",International Delight French Vanilla Coffee Creamer 16 Fl Oz,INTL DLGT FRNCH VANILLA CRMR 6 / 16FZ,True,04127102562,"{'id': 'Y2A5XW9PYDX52', 'name': 'International Delight French Vanilla Coffee Creamer 16 Fl Oz'}",5597,
96CNRTN9P7QB6,85,Matched brand 'Monster Energy' and size '16oz'. No other Monster Energy variant matched better.,monster energy 16oz,MONSTER ENERGY ORIGINAL 24/15.5Z,True,07084781123,"{'id': '96CNRTN9P7QB6', 'name': 'monster energy 16oz'}",5606,
R5N9GMJY7K0NA,85,Matched brand 'New England coffee' and size '12oz'. No other item had a closer match.,New England coffee 12oz,COFFEE MATE PWDR 12/6 OZ,True,00050000300600,"{'id': 'R5N9GMJY7K0NA', 'name': 'New England coffee 12oz'}",5609,
